4661 東証1部 (株)オリエンタルランド（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","7260","7331","7132","7154","976900","7154"
"2016-01-05","7136","7283","7131","7258","1101500","7258"
"2016-01-06","7330","7410","7284","7389","1870100","7389"
"2016-01-07","7394","7529","7390","7473","2264300","7473"
"2016-01-08","7402","7489","7307","7355","1376200","7355"
"2016-01-12","7304","7392","7137","7137","1315200","7137"
"2016-01-13","7360","7500","7308","7485","1470100","7485"
"2016-01-14","7314","7357","7132","7282","1525500","7282"
"2016-01-15","7370","7475","7295","7366","1403500","7366"
"2016-01-18","7216","7410","7211","7378","1249100","7378"
"2016-01-19","7316","7393","7160","7237","1273400","7237"
"2016-01-20","7206","7242","6980","6996","1168200","6996"
"2016-01-21","7000","7187","6850","6851","1433100","6851"
"2016-01-22","7051","7133","6906","7118","1246600","7118"
"2016-01-25","7221","7333","7212","7290","873000","7290"
"2016-01-26","7170","7229","7132","7143","640000","7143"
"2016-01-27","7258","7288","7170","7220","878800","7220"
"2016-01-28","7200","7210","7103","7123","932400","7123"
"2016-01-29","7339","7650","7321","7623","3216800","7623"
"2016-02-01","7723","7999","7704","7980","2212100","7980"
"2016-02-02","7945","8199","7900","7990","2341500","7990"
"2016-02-03","7950","8099","7845","7933","1756600","7933"
"2016-02-04","7859","7884","7705","7711","1430300","7711"
"2016-02-05","7601","7644","7479","7587","1203100","7587"
"2016-02-08","7598","7847","7553","7809","1440200","7809"
"2016-02-09","8083","8146","7864","8000","3630700","8000"
"2016-02-10","8068","8190","7984","8070","3060800","8070"
"2016-02-12","7792","7862","7562","7650","2283400","7650"
"2016-02-15","8000","8186","7930","8145","2200200","8145"
"2016-02-16","8050","8083","7943","7996","1872700","7996"
"2016-02-17","7939","8026","7760","7935","2205800","7935"
"2016-02-18","8035","8144","7962","8000","1725100","8000"
"2016-02-19","7982","8010","7793","7852","1412200","7852"
"2016-02-22","7846","8069","7828","8010","1138300","8010"
"2016-02-23","8010","8025","7745","7783","1285700","7783"
"2016-02-24","7750","7940","7730","7855","957900","7855"
"2016-02-25","7801","7939","7797","7908","845400","7908"
"2016-02-26","7871","7937","7811","7870","891700","7870"
"2016-02-29","7955","7959","7729","7729","1226400","7729"
"2016-03-01","7777","7915","7777","7869","995600","7869"
"2016-03-02","8000","8195","7981","8185","2247500","8185"
"2016-03-03","8194","8237","8118","8171","1024400","8171"
"2016-03-04","8103","8172","7921","8010","1452700","8010"
"2016-03-07","7970","7989","7894","7926","739600","7926"
"2016-03-08","7900","7969","7790","7938","1128800","7938"
"2016-03-09","7900","7980","7811","7825","828200","7825"
"2016-03-10","7901","7946","7863","7929","534200","7929"
"2016-03-11","7879","7980","7820","7940","981700","7940"
"2016-03-14","8003","8058","7840","7884","1121300","7884"
"2016-03-15","7883","7974","7844","7926","793500","7926"
"2016-03-16","7862","7981","7862","7922","515200","7922"
"2016-03-17","7923","7995","7854","7913","761800","7913"
"2016-03-18","7851","7968","7754","7961","1347300","7961"
"2016-03-22","7956","8063","7906","8046","1079500","8046"
"2016-03-23","8058","8115","8053","8087","780300","8087"
"2016-03-24","8087","8200","8048","8168","1102900","8168"
"2016-03-25","8180","8226","8091","8116","930600","8116"
"2016-03-28","8134","8179","8042","8129","1514000","8129"
"2016-03-29","8090","8090","7937","8049","1186600","8049"
"2016-03-30","8040","8167","8028","8095","833700","8095"
"2016-03-31","8100","8108","7970","7970","1120500","7970"
"2016-04-01","8025","8049","7843","7886","1511200","7886"
"2016-04-04","7878","8028","7833","7873","883800","7873"
"2016-04-05","7799","7800","7469","7536","1631300","7536"
"2016-04-06","7748","7773","7570","7762","1410900","7762"
"2016-04-07","7810","7911","7662","7766","1005900","7766"
"2016-04-08","7629","7849","7581","7788","988900","7788"
"2016-04-11","7770","7785","7641","7687","695600","7687"
"2016-04-12","7658","7749","7640","7689","589600","7689"
"2016-04-13","7738","7742","7631","7675","1075300","7675"
"2016-04-14","7738","7835","7701","7826","1310000","7826"
"2016-04-15","7716","7754","7669","7701","1308200","7701"
"2016-04-18","7567","7629","7530","7600","841000","7600"
"2016-04-19","7727","7786","7682","7749","708900","7749"
"2016-04-20","7780","7840","7660","7686","855800","7686"
"2016-04-21","7750","7750","7678","7737","799800","7737"
"2016-04-22","7711","7906","7710","7901","1106900","7901"
"2016-04-25","7893","7893","7809","7820","741500","7820"
"2016-04-26","7810","7888","7787","7854","717000","7854"
"2016-04-27","7884","7918","7701","7739","1033600","7739"
"2016-04-28","7880","7895","7557","7600","1760600","7600"
"2016-05-02","7488","7494","7269","7277","2014700","7277"
"2016-05-06","7309","7371","7190","7281","998700","7281"
"2016-05-09","7346","7378","7239","7250","730400","7250"
"2016-05-10","7245","7387","7222","7371","1097300","7371"
"2016-05-11","7487","7489","7264","7284","1095400","7284"
"2016-05-12","7240","7272","7185","7261","957000","7261"
"2016-05-13","7283","7335","7242","7297","834700","7297"
"2016-05-16","7296","7378","7245","7245","516400","7245"
"2016-05-17","7287","7360","7259","7357","531000","7357"
"2016-05-18","7324","7357","7230","7274","887100","7274"
"2016-05-19","7325","7419","7288","7405","1031900","7405"
"2016-05-20","7396","7417","7355","7400","903100","7400"
"2016-05-23","7388","7405","7276","7329","693600","7329"
"2016-05-24","7329","7395","7288","7380","581800","7380"
"2016-05-25","7422","7449","7235","7268","1000800","7268"
"2016-05-26","7304","7325","7243","7258","759000","7258"
"2016-05-27","7250","7255","7205","7219","840500","7219"
"2016-05-30","7258","7319","7246","7295","894900","7295"
"2016-05-31","7295","7306","7221","7292","1984500","7292"
"2016-06-01","7230","7255","7165","7205","1202000","7205"
"2016-06-02","7178","7185","7000","7043","1350700","7043"
"2016-06-03","7053","7135","7024","7095","974000","7095"
"2016-06-06","7050","7167","7040","7166","625300","7166"
"2016-06-07","7120","7120","7036","7065","867500","7065"
"2016-06-08","7059","7069","6956","7023","1405300","7023"
"2016-06-09","7041","7079","6998","7039","980000","7039"
"2016-06-10","7012","7018","6933","6962","1337400","6962"
"2016-06-13","6900","6912","6839","6877","1089400","6877"
"2016-06-14","6873","6912","6721","6788","976700","6788"
"2016-06-15","6754","6874","6748","6822","746100","6822"
"2016-06-16","6806","6865","6668","6687","802900","6687"
"2016-06-17","6719","6804","6671","6700","803800","6700"
"2016-06-20","6760","6799","6705","6724","617500","6724"
"2016-06-21","6760","6873","6694","6863","860700","6863"
"2016-06-22","6771","6785","6700","6709","913100","6709"
"2016-06-23","6600","6611","6485","6499","1735400","6499"
"2016-06-24","6550","6559","5960","6155","2055900","6155"
"2016-06-27","6150","6391","6145","6349","1117900","6349"
"2016-06-28","6301","6516","6266","6460","1196400","6460"
"2016-06-29","6560","6650","6462","6646","1026200","6646"
"2016-06-30","6693","6735","6611","6624","1378500","6624"
"2016-07-01","6683","6744","6652","6707","693000","6707"
"2016-07-04","6720","6807","6702","6770","807700","6770"
"2016-07-05","6750","6753","6591","6651","784200","6651"
"2016-07-06","6512","6601","6460","6601","1096100","6601"
"2016-07-07","6616","6623","6472","6513","807800","6513"
"2016-07-08","6532","6598","6352","6359","1141100","6359"
"2016-07-11","6500","6551","6450","6510","731900","6510"
"2016-07-12","6650","6726","6604","6617","976400","6617"
"2016-07-13","6731","6768","6540","6573","817400","6573"
"2016-07-14","6610","6691","6605","6643","611700","6643"
"2016-07-15","6636","6636","6406","6426","1510000","6426"
"2016-07-19","6526","6571","6401","6570","1499400","6570"
"2016-07-20","6512","6558","6452","6558","1047500","6558"
"2016-07-21","6600","6614","6532","6556","841500","6556"
"2016-07-22","6512","6598","6489","6533","570800","6533"
"2016-07-25","6513","6620","6512","6551","635500","6551"
"2016-07-26","6519","6557","6481","6522","590200","6522"
"2016-07-27","6569","6694","6548","6651","754700","6651"
"2016-07-28","6518","6527","6351","6464","1556100","6464"
"2016-07-29","6390","6516","6314","6510","1634500","6510"
"2016-08-01","6459","6478","6354","6440","916500","6440"
"2016-08-02","6436","6436","6253","6256","1057200","6256"
"2016-08-03","6180","6255","6082","6235","967600","6235"
"2016-08-04","6269","6288","6175","6223","756200","6223"
"2016-08-05","6211","6255","6113","6141","1160800","6141"
"2016-08-08","6207","6229","6130","6175","617600","6175"
"2016-08-09","6191","6245","6161","6203","798000","6203"
"2016-08-10","6202","6263","6148","6223","677300","6223"
"2016-08-12","6250","6275","6212","6252","600700","6252"
"2016-08-15","6252","6331","6238","6278","539600","6278"
"2016-08-16","6286","6290","6166","6184","889900","6184"
"2016-08-17","6180","6220","6140","6147","697400","6147"
"2016-08-18","6141","6177","6110","6117","809300","6117"
"2016-08-19","6120","6126","5991","6019","1099700","6019"
"2016-08-22","6006","6072","5992","6062","650600","6062"
"2016-08-23","6040","6183","6016","6108","910200","6108"
"2016-08-24","6113","6158","6051","6146","860600","6146"
"2016-08-25","6150","6231","6134","6192","619300","6192"
"2016-08-26","6164","6168","6065","6065","674900","6065"
"2016-08-29","6141","6160","6050","6051","589300","6051"
"2016-08-30","6041","6068","5996","6006","881000","6006"
"2016-08-31","6050","6066","5991","6059","706200","6059"
"2016-09-01","6041","6058","6011","6043","659200","6043"
"2016-09-02","6040","6199","6030","6188","822800","6188"
"2016-09-05","6264","6276","6198","6244","704300","6244"
"2016-09-06","6263","6366","6230","6337","733700","6337"
"2016-09-07","6330","6373","6303","6324","732800","6324"
"2016-09-08","6314","6314","6186","6207","787600","6207"
"2016-09-09","6160","6199","6114","6130","817000","6130"
"2016-09-12","6095","6106","6070","6085","483300","6085"
"2016-09-13","6098","6102","6023","6076","709400","6076"
"2016-09-14","6057","6117","6053","6055","557600","6055"
"2016-09-15","6044","6053","6011","6036","561200","6036"
"2016-09-16","6070","6199","6043","6185","924800","6185"
"2016-09-20","6185","6209","6123","6161","718900","6161"
"2016-09-21","6143","6247","6117","6242","725500","6242"
"2016-09-23","6240","6367","6218","6344","937000","6344"
"2016-09-26","6320","6328","6197","6210","903900","6210"
"2016-09-27","6214","6288","6158","6264","1684400","6264"
"2016-09-28","6197","6250","6127","6195","894200","6195"
"2016-09-29","6250","6250","6166","6228","721300","6228"
"2016-09-30","6149","6162","6035","6134","1139400","6134"
"2016-10-03","6150","6193","6118","6132","577600","6132"
"2016-10-04","6135","6137","6037","6085","1178200","6085"
"2016-10-05","6104","6132","6074","6105","814600","6105"
"2016-10-06","6120","6130","6080","6114","619600","6114"
"2016-10-07","6100","6118","6038","6045","766600","6045"
"2016-10-11","6040","6049","6001","6037","784300","6037"
"2016-10-12","6040","6111","6031","6062","742300","6062"
"2016-10-13","6093","6110","6006","6030","851300","6030"
"2016-10-17","6016","6055","5976","5998","853000","5998"
"2016-10-19","6001","6039","5985","5998","795000","5998"
"2016-10-20","5991","6030","5990","6007","696900","6007"
"2016-10-21","6080","6299","6052","6261","2495500","6261"
"2016-10-24","6256","6256","6189","6217","728200","6217"
"2016-10-25","6158","6235","6156","6213","596100","6213"
"2016-10-26","6200","6235","6189","6220","492200","6220"
"2016-10-27","6223","6255","6193","6206","580800","6206"
"2016-10-28","6216","6230","6180","6211","718600","6211"
"2016-10-31","6211","6224","6123","6137","746500","6137"
"2016-11-01","6106","6128","6063","6111","689100","6111"
"2016-11-02","6071","6126","6038","6090","755100","6090"
"2016-11-04","6050","6070","5985","6017","905400","6017"
"2016-11-07","6058","6079","6015","6041","635600","6041"
"2016-11-08","6041","6049","5982","6004","830900","6004"
"2016-11-09","6014","6098","5823","5893","1553000","5893"
"2016-11-10","6084","6088","5965","5994","1214900","5994"
"2016-11-11","6006","6007","5890","5913","1655000","5913"
"2016-11-14","5937","5944","5886","5906","1222200","5906"
"2016-11-15","5906","5906","5846","5863","1105400","5863"
"2016-11-16","5905","5917","5855","5898","1001000","5898"
"2016-11-17","5891","5975","5883","5957","773900","5957"
"2016-11-18","5990","5998","5945","5968","644600","5968"
"2016-11-21","6000","6064","5993","6053","758900","6053"
"2016-11-22","6063","6108","6062","6075","696600","6075"
"2016-11-24","6110","6125","6080","6110","491200","6110"
"2016-11-25","6111","6250","6102","6243","1174900","6243"
"2016-11-28","6250","6317","6249","6274","908400","6274"
"2016-11-29","6205","6245","6175","6235","663300","6235"
"2016-11-30","6277","6530","6277","6517","2744500","6517"
"2016-12-01","6530","6535","6429","6481","1230000","6481"
"2016-12-02","6469","6470","6360","6396","909100","6396"
"2016-12-05","6354","6387","6280","6306","711300","6306"
"2016-12-06","6370","6375","6302","6326","925400","6326"
"2016-12-07","6334","6376","6262","6375","805400","6375"
"2016-12-08","6400","6448","6350","6399","1001000","6399"
"2016-12-09","6360","6473","6360","6436","1190100","6436"
"2016-12-12","6503","6548","6443","6481","1089800","6481"
"2016-12-13","6525","6630","6505","6630","1245600","6630"
"2016-12-14","6700","6722","6593","6613","983900","6613"
"2016-12-15","6610","6677","6573","6661","805200","6661"
"2016-12-16","6700","6743","6648","6692","770800","6692"
"2016-12-19","6686","6711","6635","6683","581000","6683"
"2016-12-20","6650","6717","6624","6708","600700","6708"
"2016-12-21","6720","6733","6657","6672","586700","6672"
"2016-12-22","6604","6664","6603","6652","549700","6652"
"2016-12-26","6650","6671","6631","6659","429400","6659"
"2016-12-27","6651","6673","6612","6618","468500","6618"
"2016-12-28","6625","6679","6613","6651","483400","6651"
"2016-12-29","6652","6665","6611","6653","591000","6653"
"2016-12-30","6631","6655","6600","6606","543000","6606"